FdGrp_CD;FdGrp_Desc
0100;Dairy and Egg Products
0200;Spices and Herbs
0400;Fats and Oils
0600;Soups, Sauces, and Gravies
0900;Fruits and Fruit Juices
1100;Vegetables and Vegetable Products
1200;Nut and Seed Products
1400;Beverages
1600;Legumes and Legume Products
1800;Baked Products
1900;Sweets
2000;Cereal Grains and Pasta
